query,best_residual,attempts
5,2.962271878781666,1
10,2.962271878781666,2
15,2.962271878781666,3
20,2.962271878781666,4
25,2.962271878781666,5
30,2.962271878781666,6
35,2.962271878781666,7
40,4.7303068985406975,8
45,4.7303068985406975,9
50,4.7303068985406975,10
55,4.7303068985406975,11
60,4.7303068985406975,12
65,4.7303068985406975,13
70,4.7303068985406975,14
75,4.7303068985406975,15
80,4.7303068985406975,16
85,4.7303068985406975,17
90,4.7303068985406975,18
95,4.7303068985406975,19
100,4.7303068985406975,20
105,4.7303068985406975,21
110,4.7303068985406975,22
115,4.7303068985406975,23
120,4.7303068985406975,24
125,4.7303068985406975,25
130,4.7303068985406975,26
135,4.7303068985406975,27
140,4.7303068985406975,28
145,4.7303068985406975,29
150,4.7303068985406975,30
155,4.7303068985406975,31
160,4.7303068985406975,32
165,4.7303068985406975,33
170,4.7303068985406975,34
175,4.7303068985406975,35
180,4.7303068985406975,36
185,4.7303068985406975,37
190,4.7303068985406975,38
195,4.7303068985406975,39
200,4.7303068985406975,40
